ticker,last_date_x,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason,cagr,max_dd,winrate,n_days,n_trades,last_date_y
HDFCAMC.NS,2025-09-12,2025-09-12,5798.5,0.067,False,,0.69,True,HOLD,,,117.396,59.726,359780,Financial Services,Asset Management,,False,False,False,True,0.0202,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BAJAJ-AUTO.NS,2025-09-12,2025-09-12,8999.5,0.397,False,,0.46,True,HOLD,,,198.471,56.315,516897,Consumer Cyclical,Auto Manufacturers,,False,False,True,True,0.0221,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
MARICO.NS,2025-09-12,2025-09-12,734.55,0.436,False,,0.58,True,HOLD,,,12.915,55.439,1813720,Consumer Defensive,Household & Personal Products,,False,False,True,True,0.0176,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
SUPREMEIND.NS,2025-09-12,2025-09-12,4532.7,0.794,False,,0.69,True,HOLD,4414.44,4710.09,118.259,54.666,172092,Industrials,Building Products & Equipment,1.5,False,True,False,True,0.0261,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HEROMOTOCO.NS,2025-09-12,2025-09-12,5301.5,0.508,False,,0.63,True,HOLD,,,120.734,66.276,1009313,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0228,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HINDPETRO.NS,2025-09-12,2025-09-12,398.75,0.22,False,,0.47,False,SELL,407.46,385.69,8.706,53.204,2866398,Energy,Oil & Gas Refining & Marketing,1.5,False,False,False,True,0.0218,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
GOKEX.NS,2025-09-12,2025-09-12,764.95,0.92,False,,0.58,False,HOLD,,,31.461,51.333,545749,Consumer Cyclical,Apparel Manufacturing,,False,False,False,False,0.0411,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
SUZLON.NS,2025-09-12,2025-09-12,57.11,0.38,False,,0.68,False,HOLD,,,1.389,39.272,55691184,Industrials,Specialty Industrial Machinery,,False,False,False,False,0.0243,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
WIPRO.NS,2025-09-12,2025-09-12,251.94,0.4,False,,0.56,False,HOLD,,,4.996,52.986,7929294,Technology,Information Technology Services,,False,False,False,False,0.0198,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
DRREDDY.NS,2025-09-12,2025-09-12,1316.7,0.872,False,,0.65,True,HOLD,1292.3,1353.3,24.4,63.544,1354534,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,True,False,False,True,0.0185,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TATAPOWER.NS,2025-09-12,2025-09-12,386.25,0.209,False,,0.49,False,SELL,392.32,377.15,6.065,50.238,3407158,Utilities,Utilities - Independent Power Producers,1.5,False,False,False,False,0.0157,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TITAN.NS,2025-09-12,2025-09-12,3571.9,0.553,False,,0.7,True,HOLD,,,53.551,47.973,592826,Consumer Cyclical,Luxury Goods,,False,False,False,True,0.015,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
IEX.NS,2025-09-12,2025-09-12,144.84,0.464,False,,0.68,False,SELL,148.46,139.41,3.622,48.342,5248102,Financial Services,Capital Markets,1.5,False,False,False,False,0.025,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NESTLEIND.NS,2025-09-12,2025-09-12,1217.6,0.238,False,,0.67,True,HOLD,,,22.906,61.77,1448591,Consumer Defensive,Packaged Foods,,False,False,False,True,0.0188,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NAVINFLUOR.NS,2025-09-12,2025-09-12,4791.0,0.261,False,,0.67,False,SELL,4921.9,4594.65,130.898,47.233,87562,Basic Materials,Chemicals,1.5,False,False,False,True,0.0273,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NEWGEN.NS,2025-09-12,2025-09-12,887.5,0.765,False,,0.49,False,HOLD,,,28.09,46.085,843746,Technology,Software - Infrastructure,,False,False,False,False,0.0317,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
IREDA.NS,2025-09-12,2025-09-12,147.35,0.526,False,,0.59,False,HOLD,,,2.905,51.332,4501156,Financial Services,Credit Services,,False,False,False,False,0.0197,True,True,,,0.0,0.0,0.0,430,0,2025-09-12
ZYDUSLIFE.NS,2025-09-12,2025-09-12,1044.75,0.223,False,,0.66,True,HOLD,,,20.232,69.146,1090057,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0194,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
PERSISTENT.NS,2025-09-12,2025-09-12,5411.0,0.308,False,,0.66,False,SELL,5548.07,5205.4,137.066,54.529,417037,Technology,Information Technology Services,1.5,False,False,False,False,0.0253,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ITC.NS,2025-09-12,2025-09-12,413.75,0.356,False,,0.69,False,SELL,419.35,405.34,5.604,54.573,14284125,Consumer Defensive,Tobacco,1.5,False,False,False,False,0.0135,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BPCL.NS,2025-09-12,2025-09-12,318.0,0.139,False,,0.59,False,SELL,324.62,308.07,6.619,49.914,5039748,Energy,Oil & Gas Refining & Marketing,1.5,False,False,False,True,0.0208,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BALKRISIND.NS,2025-09-12,2025-09-12,2388.7,0.549,False,,0.68,False,HOLD,,,63.431,48.516,210269,Consumer Cyclical,Auto Parts,,False,False,False,False,0.0266,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ASHOKLEY.NS,2025-09-12,2025-09-12,134.09,0.262,False,,0.7,True,HOLD,,,3.539,59.945,19333070,Industrials,Farm & Heavy Construction Machinery,,False,False,False,True,0.0264,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ADANIENT.NS,2025-09-12,2025-09-12,2392.0,0.382,False,,0.48,False,HOLD,,,49.177,58.028,665859,Energy,Thermal Coal,,False,False,False,False,0.0206,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TORNTPHARM.NS,2025-09-12,2025-09-12,3566.2,0.082,False,,0.66,True,HOLD,,,64.816,46.188,197074,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0182,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HDFCBANK.NS,2025-09-12,2025-09-12,967.3,0.211,False,,0.63,False,SELL,979.2,949.45,11.899,44.886,15074083,Financial Services,Banks - Regional,1.5,False,False,False,True,0.0123,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
OFSS.NS,2025-09-12,2025-09-12,8979.0,0.517,False,,0.5,False,HOLD,,,282.24,59.678,248247,Technology,Software - Infrastructure,,False,True,False,False,0.0314,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
UPL.NS,2025-09-12,2025-09-12,693.1,0.681,False,,0.69,True,HOLD,,,18.369,45.183,2228298,Basic Materials,Agricultural Inputs,,False,False,False,True,0.0265,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
COFORGE.NS,2025-09-12,2025-09-12,1764.0,0.382,False,,0.51,False,SELL,1810.51,1694.24,46.508,55.775,1414442,Technology,Information Technology Services,1.5,False,False,False,True,0.0264,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
PETRONET.NS,2025-09-12,2025-09-12,277.95,0.336,False,,0.62,False,SELL,283.15,270.15,5.198,49.681,1598978,Energy,Oil & Gas Refining & Marketing,1.5,False,True,False,False,0.0187,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
VOLTAS.NS,2025-09-12,2025-09-12,1403.6,0.511,False,,0.69,True,HOLD,,,34.016,56.637,1205294,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,False,False,False,True,0.0242,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BHARATFORG.NS,2025-09-12,2025-09-12,1223.0,0.252,False,,0.47,False,SELL,1255.52,1174.22,32.521,62.342,1117826,Consumer Cyclical,Auto Parts,1.5,False,False,False,False,0.0266,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ADANIPORTS.NS,2025-09-12,2025-09-12,1393.1,0.106,False,,0.67,False,SELL,1419.66,1353.27,26.555,61.578,2170783,Industrials,Marine Shipping,1.5,False,False,False,True,0.0191,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
GRASIM.NS,2025-09-12,2025-09-12,2802.0,0.239,False,,0.45,True,HOLD,,,45.629,52.596,552403,Basic Materials,Building Materials,,False,False,True,True,0.0163,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
IDEA.NS,2025-09-12,2025-09-12,7.66,0.093,False,,0.57,True,HOLD,,,0.307,66.084,497191222,Communication Services,Telecom Services,,True,False,False,False,0.04,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
MPHASIS.NS,2025-09-12,2025-09-12,2904.2,0.492,False,,0.52,True,HOLD,,,80.891,55.976,438458,Technology,Information Technology Services,,False,False,False,True,0.0279,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
INFY.NS,2025-09-12,2025-09-12,1525.6,0.187,False,,0.7,False,SELL,1557.44,1477.84,31.841,55.788,7236641,Technology,Information Technology Services,1.5,False,True,False,False,0.0209,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HDFCLIFE.NS,2025-09-12,2025-09-12,779.65,0.19,False,,0.45,True,HOLD,,,15.673,54.579,2708799,Financial Services,Insurance - Life,,False,False,True,True,0.0201,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
LAURUSLABS.NS,2025-09-12,2025-09-12,896.05,0.042,False,,0.7,True,HOLD,,,20.049,64.392,1266115,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0224,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
YESBANK.NS,2025-09-12,2025-09-12,20.86,0.352,False,,0.48,True,HOLD,,,0.429,66.967,93658292,Financial Services,Banks - Regional,,False,False,False,True,0.0206,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
COALINDIA.NS,2025-09-12,2025-09-12,394.35,0.156,False,,0.7,True,HOLD,,,5.552,62.462,4686412,Energy,Thermal Coal,,False,False,False,False,0.0141,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NTPC.NS,2025-09-12,2025-09-12,331.7,0.692,False,,0.56,False,HOLD,,,5.203,48.876,8372112,Utilities,Utilities - Regulated Electric,,False,False,False,False,0.0157,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TATAELXSI.NS,2025-09-12,2025-09-12,5721.5,0.814,False,,0.7,False,HOLD,,,133.741,53.998,166711,Technology,Software - Application,,False,False,False,False,0.0234,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
COLPAL.NS,2025-09-12,2025-09-12,2353.7,0.851,False,,0.54,True,HOLD,2301.85,2431.48,51.853,51.438,743228,Consumer Defensive,Household & Personal Products,1.5,False,False,True,False,0.022,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
LODHA.NS,2025-09-12,2025-09-12,1168.3,0.474,False,,0.7,False,HOLD,,,30.89,34.961,1042602,Real Estate,Real Estate - Development,,False,True,False,False,0.0264,True,True,,,0.0,0.0,0.0,1078,0,2025-09-12
DEEPAKNTR.NS,2025-09-12,2025-09-12,1749.6,0.43,False,,0.48,False,SELL,1783.44,1698.84,33.841,33.734,200858,Basic Materials,Chemicals,1.5,False,False,False,False,0.0193,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
OIL.NS,2025-09-12,2025-09-12,398.4,0.547,False,,0.45,False,HOLD,,,8.987,43.19,1495372,Energy,Oil & Gas Integrated,,False,False,False,False,0.0226,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
EICHERMOT.NS,2025-09-12,2025-09-12,6875.0,0.103,False,,0.45,True,HOLD,,,136.847,81.907,739983,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0199,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
ULTRACEMCO.NS,2025-09-12,2025-09-12,12370.0,0.296,False,,0.63,True,HOLD,,,196.139,42.482,231966,Basic Materials,Building Materials,,False,False,False,True,0.0159,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
CANFINHOME.NS,2025-09-12,2025-09-12,746.35,0.712,False,,0.61,False,HOLD,,,17.298,47.204,166111,Financial Services,Mortgage Finance,,False,False,False,True,0.0232,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
RELIANCE.NS,2025-09-12,2025-09-12,1395.0,0.236,False,,0.6,False,SELL,1414.98,1365.03,19.982,52.265,9653998,Energy,Oil & Gas Refining & Marketing,1.5,False,False,False,True,0.0143,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TATACOMM.NS,2025-09-12,2025-09-12,1614.0,0.758,False,,0.48,False,HOLD,,,37.858,51.588,579856,Communication Services,Telecom Services,,False,False,False,False,0.0235,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
AIAENG.NS,2025-09-12,2025-09-12,3087.9,0.62,False,,0.64,False,HOLD,,,63.079,48.486,56663,Industrials,Specialty Industrial Machinery,,False,True,False,False,0.0204,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
AFFLE.NS,2025-09-12,2025-09-12,2075.9,0.095,False,,0.69,True,HOLD,,,59.02,65.916,346678,Communication Services,Advertising Agencies,,False,True,False,True,0.0284,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BRITANNIA.NS,2025-09-12,2025-09-12,6247.0,0.242,False,,0.47,True,HOLD,,,134.937,71.989,423105,Consumer Defensive,Packaged Foods,,False,False,False,True,0.0216,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TATAMOTORS.NS,2025-09-12,2025-09-12,715.25,0.593,False,,0.49,True,HOLD,700.86,736.84,14.39,61.776,9299363,Consumer Cyclical,Auto Manufacturers,1.5,False,False,False,False,0.0201,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NMDC.NS,2025-09-12,2025-09-12,76.47,0.276,False,,0.6,True,HOLD,,,1.525,69.05,19945334,Basic Materials,Steel,,False,True,False,True,0.0199,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TECHM.NS,2025-09-12,2025-09-12,1525.5,0.315,False,,0.7,False,SELL,1554.59,1481.87,29.089,54.596,1383426,Technology,Information Technology Services,1.5,False,False,False,False,0.0191,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
GLAND.NS,2025-09-12,2025-09-12,2021.2,0.496,False,,0.47,True,BUY,1965.34,2104.99,55.862,66.513,172488,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,True,True,False,True,0.0276,True,True,MIS,"low confidence, breakout+vol → CNC",0.0,0.0,0.0,1177,0,2025-09-12
TATACONSUM.NS,2025-09-12,2025-09-12,1103.9,0.338,False,,0.49,True,HOLD,,,20.766,58.804,949846,Consumer Defensive,Packaged Foods,,False,False,False,True,0.0188,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
PVRINOX.NS,2025-09-12,2025-09-12,1120.8,0.736,False,,0.67,True,BUY,1087.5,1170.75,33.302,56.09,426740,Communication Services,Entertainment,1.5,False,False,True,True,0.0297,True,True,MIS,"conf 0.735529230855339≥0.7, pullback → MIS",0.0,0.0,0.0,670,0,2025-09-12
BAJAJFINSV.NS,2025-09-12,2025-09-12,2081.5,0.096,False,,0.69,True,HOLD,,,32.188,71.784,1094657,Financial Services,Financial Conglomerates,,True,True,False,True,0.0155,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
